budget,model,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
750,BAAI/bge-m3,prior,fl,topk,prior/fl/topk,0.7032453929358964,0.06793181642995409,0.69680020019059,0.7063816415693619,0.694403003345705,0.6962733617844913,0.7019285216241408,0.6707165044186324,0.5551962336560465,-10.789440166275456
750,NovaSearch/stella_en_1.5B_v5,prior,mmr,greedy,prior/mmr/greedy,0.6433119512886254,0.07746410814447785,0.6480148569648116,0.6433484124610571,0.6281651843033611,0.6519611059117252,0.5919772434653,0.6201445632636513,0.1600858063331612,-0.2407489986958439
750,NovaSearch/stella_en_1.5B_v5,prior,graphcut,greedy,prior/graphcut/greedy,0.6379926096455617,0.07700859505753473,0.6493227171431553,0.6356963381863532,0.6126730192823103,0.6378004497390758,0.5919772434653,0.6171247480348975,0.14508858430287186,-0.2889099970749878
750,NovaSearch/stella_en_1.5B_v5,prior,fl,greedy,prior/fl/greedy,0.823631371684254,0.06604466713824363,0.8237091270819371,0.8248881627112457,0.8116111606028247,0.8066141124200243,0.7316419351059748,0.8166499735172561,0.384988592129271,-1.2744085056320675
750,NovaSearch/stella_en_1.5B_v5,prior,mmr,cost_norm,prior/mmr/cost_norm,0.6353771351879559,0.07599456944801616,0.6409103766322851,0.6323938146154073,0.6291821509611831,0.588252560790915,0.7472688485469321,0.6079299410277719,0.16389737935420476,-0.18603171401147572
750,NovaSearch/stella_en_1.5B_v5,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.6437523132496907,0.07453733464738108,0.646188633280601,0.645394238448659,0.6285652242949014,0.6068232784252441,0.7472688485469321,0.6199531967949989,0.15666928950626896,-0.18296605123663848
750,NovaSearch/stella_en_1.5B_v5,prior,fl,cost_norm,prior/fl/cost_norm,0.8476053113149922,0.058614128286827286,0.8506714028409323,0.8459167027718278,0.8391799568346598,0.8249308557993037,0.7833066842672322,0.8346050969682272,0.3673654184588846,-3.3894563463498963
750,NovaSearch/stella_en_1.5B_v5,prior,dpp,dpp,prior/dpp/dpp,0.5786595648929213,0.10137493272294414,0.5833475830228135,0.5769848020454219,0.5607691357502357,0.5486715737083065,0.4873827960883439,0.5422530206521661,0.2660780667836936,-0.7075797300434338
750,NovaSearch/stella_en_1.5B_v5,prior,mmr,topk,prior/mmr/topk,0.45397290024386433,0.11069190742904847,0.4519642314693713,0.45383298616569084,0.4454528296541825,0.43853329894791976,0.4475116898219069,0.4174921031028656,0.5044717437956693,-13.833887153638983
750,NovaSearch/stella_en_1.5B_v5,prior,graphcut,topk,prior/graphcut/topk,0.45397290024386433,0.11069190742904847,0.4519642314693713,0.45383298616569084,0.4454528296541825,0.43853329894791976,0.4475116898219069,0.4174921031028656,0.5044717437956693,-13.833887153638983
750,NovaSearch/stella_en_1.5B_v5,prior,fl,topk,prior/fl/topk,0.45397290024386433,0.11069190742904847,0.4519642314693713,0.45383298616569084,0.4454528296541825,0.43853329894791976,0.4475116898219069,0.4174921031028656,0.5044717437956693,-13.833887153638983
750,all-MiniLM-L6-v2,prior,mmr,greedy,prior/mmr/greedy,0.49741471349872957,0.1005110468117977,0.49449652257107624,0.4981841942009799,0.4902991152076693,0.4253591516449777,0.3147523544005404,0.4838230632448022,0.028562637567926496,-0.11902290296039043
750,all-MiniLM-L6-v2,prior,graphcut,greedy,prior/graphcut/greedy,0.48699691256708283,0.09569673788435054,0.4846378212725523,0.4926784209649013,0.4678758412438871,0.4550594990629565,0.28875478805668886,0.47861598349052936,0.014392759771479451,-0.13240177888271645
750,all-MiniLM-L6-v2,prior,fl,greedy,prior/fl/greedy,0.7282276568348712,0.08753516291320887,0.7386648132351944,0.7278928069433751,0.710569221563613,0.7056384883441181,0.5388904178515622,0.7398066221799032,0.2913762952007775,-0.8213597949734837
750,all-MiniLM-L6-v2,prior,mmr,cost_norm,prior/mmr/cost_norm,0.5246131996419745,0.09337369045066946,0.5214099686266437,0.5294855901264504,0.5185014744370061,0.49037071852580877,0.3776923729928881,0.5191723435927785,0.048360406253983836,-0.08607917452090473
750,all-MiniLM-L6-v2,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.5160879346170696,0.08744129209937353,0.52624934115018,0.5180446488040001,0.4945364399133577,0.49732662143235956,0.34311879543109597,0.5104470257777667,0.031573945289188866,-0.09459676978371616
750,all-MiniLM-L6-v2,prior,fl,cost_norm,prior/fl/cost_norm,0.7653772593862909,0.07739506558216405,0.7610465895438424,0.7761291293882825,0.7502863789475982,0.7696465629843728,0.7236266966335272,0.771555585476822,0.23986544235135024,-1.9879603023236652
750,all-MiniLM-L6-v2,prior,dpp,dpp,prior/dpp/dpp,0.46699060331035425,0.12746401897297716,0.45911478192991895,0.4717110893498818,0.47780270751310383,0.45953548553609214,0.4222109842455848,0.43979551769742353,0.13898387200579065,-0.28832934294467055
750,all-MiniLM-L6-v2,prior,mmr,topk,prior/mmr/topk,0.3461056031260841,0.13628179934930126,0.3468302622818231,0.3433810348813792,0.3442419104505408,0.34124115278048095,0.30146517897588665,0.3126761331747715,0.3914588815307482,-13.810206312721348
750,all-MiniLM-L6-v2,prior,graphcut,topk,prior/graphcut/topk,0.3461056031260841,0.13628179934930126,0.3468302622818231,0.3433810348813792,0.3442419104505408,0.34124115278048095,0.30146517897588665,0.3126761331747715,0.3914588815307482,-13.810206312721348
750,all-MiniLM-L6-v2,prior,fl,topk,prior/fl/topk,0.3461056031260841,0.13628179934930126,0.3468302622818231,0.3433810348813792,0.3442419104505408,0.34124115278048095,0.30146517897588665,0.3126761331747715,0.3914588815307482,-13.810206312721348
750,google/embeddinggemma-300m,prior,mmr,greedy,prior/mmr/greedy,0.617766445488056,0.07500690104931874,0.6227077063149531,0.613450738220588,0.6042943849758166,0.5995218654760329,0.5295890545628261,0.5885970166484916,0.162247863756317,-0.21303730544563876
750,google/embeddinggemma-300m,prior,graphcut,greedy,prior/graphcut/greedy,0.6115413922345122,0.07303461703946287,0.6141892166487292,0.6070009611635475,0.6013087937450163,0.6081972804876918,0.6870950465250715,0.5837645374420751,0.1507836593279861,-0.20570736380627835
750,google/embeddinggemma-300m,prior,fl,greedy,prior/fl/greedy,0.7866966611826426,0.07317001875138508,0.7940329735594671,0.7821828696702047,0.7690318277914059,0.7645895134042124,0.7031389638577535,0.7756071127598408,0.390170850351734,-1.0808063401085026
750,google/embeddinggemma-300m,prior,mmr,cost_norm,prior/mmr/cost_norm,0.6184171173616502,0.07280218016075075,0.6146363193710196,0.6185487957359451,0.6180383780365393,0.6282914749230476,0.4908579629734879,0.5880642196098486,0.17711395478614098,-0.16056959619218447
750,google/embeddinggemma-300m,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.6199208605298819,0.07154070744115226,0.6214853849321108,0.6185513885398183,0.6143685363699805,0.5958824249555039,0.5892210730694258,0.5879283108697956,0.1710321785846971,-0.15189778091350817
750,google/embeddinggemma-300m,prior,fl,cost_norm,prior/fl/cost_norm,0.8095974013721459,0.06316667784638,0.8168086392209667,0.8062701483652271,0.7908108673283005,0.7934224014704452,0.7751126581066474,0.796820016293803,0.34462528169717427,-2.490104409321299
750,google/embeddinggemma-300m,prior,dpp,dpp,prior/dpp/dpp,0.6460947252249201,0.09548477988408983,0.6468417479102967,0.6434915727199405,0.6297126709555451,0.637800328787375,0.6543839761028103,0.6123954876243752,0.26158141938723484,-0.5223236578463946
750,google/embeddinggemma-300m,prior,mmr,topk,prior/mmr/topk,0.5901290957987372,0.09906751662492752,0.5865559193059315,0.5873178836767748,0.5838096666844634,0.6082498900901202,0.6447234122516107,0.5548944207775849,0.39082845560503454,-9.676501520557926
750,google/embeddinggemma-300m,prior,graphcut,topk,prior/graphcut/topk,0.5901290957987372,0.09906751662492752,0.5865559193059315,0.5873178836767748,0.5838096666844634,0.6082498900901202,0.6447234122516107,0.5548944207775849,0.39082845560503454,-9.676501520557926
750,google/embeddinggemma-300m,prior,fl,topk,prior/fl/topk,0.5901290957987372,0.09906751662492752,0.5865559193059315,0.5873178836767748,0.5838096666844634,0.6082498900901202,0.6447234122516107,0.5548944207775849,0.39082845560503454,-9.676501520557926
750,Qwen/Qwen3-Embedding-0.6B,prior,mmr,greedy,prior/mmr/greedy,0.8212659464774592,0.027176662624971766,0.8179535741855345,0.8216284686002291,0.8256273454813164,0.8149192532230131,0.826109574260462,0.815939904364339,0.5135423576213279,-1.558020234529702
750,Qwen/Qwen3-Embedding-0.6B,prior,graphcut,greedy,prior/graphcut/greedy,0.8193534102915818,0.02738793459193746,0.8146878701799082,0.8208767984896221,0.8174715445134032,0.8091080910408633,0.7541321576548592,0.8160743397252143,0.5045002585030952,-1.6838610004985108
750,Qwen/Qwen3-Embedding-0.6B,prior,fl,greedy,prior/fl/greedy,0.9355483393437586,0.022810697234850727,0.9358494572100927,0.9339256522536173,0.9334062338232297,0.9304852293416229,0.8662581582294864,0.9248179960777871,0.7338128595981958,-3.595462148481945
