model,prior_method,paper_id,retain_pct,retain_pct_display,num_units,gr_coverage,avg_dec_coverage,oracle_retention,selected_count
google/embeddinggemma-300m,kmeans,1086_slides.pdf,1.0,100%,82,0.5462894592404904,0.581489348200952,1.0,4
google/embeddinggemma-300m,kmeans,1086_slides.pdf,0.03,3%,2,0.44467395443791985,0.5333053671839186,0.25,2
google/embeddinggemma-300m,kmeans,1086_slides.pdf,0.05,5%,4,0.5237933350781828,0.5752148479273539,0.5,3
google/embeddinggemma-300m,kmeans,1086_slides.pdf,0.1,10%,8,0.5237933350781828,0.5473105402022763,0.75,4
google/embeddinggemma-300m,kmeans,1086_slides.pdf,0.2,20%,16,0.557182871922804,0.5733774520805853,0.75,4
google/embeddinggemma-300m,kmeans,1086_slides.pdf,0.5,50%,41,0.6106008076045327,0.7372058466960008,0.75,5
google/embeddinggemma-300m,kmeans,1040_slides.pdf,1.0,100%,80,0.5470166567581577,0.6353133341203476,1.0,5
google/embeddinggemma-300m,kmeans,1040_slides.pdf,0.03,3%,2,0.46380543311209693,0.5634571327347047,0.2,2
google/embeddinggemma-300m,kmeans,1040_slides.pdf,0.05,5%,4,0.46380543311209693,0.61898623251242,0.4,4
google/embeddinggemma-300m,kmeans,1040_slides.pdf,0.1,10%,8,0.5786310218662014,0.6292327256291149,0.4,5
google/embeddinggemma-300m,kmeans,1040_slides.pdf,0.2,20%,16,0.6168757961712495,0.6284948830673753,0.6,4
google/embeddinggemma-300m,kmeans,1040_slides.pdf,0.5,50%,40,0.6141725857266033,0.7357219843109992,0.6,6
google/embeddinggemma-300m,kmeans,1052_slides.pdf,1.0,100%,96,0.4360774690765735,0.5160591718220678,1.0,6
google/embeddinggemma-300m,kmeans,1052_slides.pdf,0.03,3%,2,0.27905601221063703,0.3525521128088558,0.16666666666666666,2
google/embeddinggemma-300m,kmeans,1052_slides.pdf,0.05,5%,4,0.27905601221063703,0.3600546453186511,0.16666666666666666,4
