budget,model,prior_method,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
250,all-MiniLM-L6-v2,centroid,prior,fl,cost_norm,prior/fl/cost_norm,0.6652845387964497,0.05187562893513801,0.674659755315414,0.6588909097369603,0.6606534200326486,0.6314168726083718,0.6252225428398375,0.673501207451527,0.28512737787557096,-0.33613310899708493
250,all-MiniLM-L6-v2,centroid,prior,dpp,dpp,prior/dpp/dpp,0.2219395798406749,0.10527496484442139,0.22013693444789473,0.2277072603554478,0.21588964989653855,0.21910110559092344,0.23134612014713912,0.2110910947490654,0.10819932928458208,-0.05080484208248305
250,all-MiniLM-L6-v2,centroid,prior,mmr,topk,prior/mmr/topk,0.2052839217260666,0.10867897798922264,0.2031403901101249,0.20950517796332732,0.20076067048542837,0.19744019351894473,0.23134612014713912,0.19413672691964265,0.2582617039541837,-1.8645167284005928
250,all-MiniLM-L6-v2,centroid,prior,graphcut,topk,prior/graphcut/topk,0.2052839217260666,0.10867897798922264,0.2031403901101249,0.20950517796332732,0.20076067048542837,0.19744019351894473,0.23134612014713912,0.19413672691964265,0.2582617039541837,-1.8645167284005928
250,all-MiniLM-L6-v2,centroid,prior,fl,topk,prior/fl/topk,0.2052839217260666,0.10867897798922264,0.2031403901101249,0.20950517796332732,0.20076067048542837,0.19744019351894473,0.23134612014713912,0.19413672691964265,0.2582617039541837,-1.8645167284005928
250,google/embeddinggemma-300m,centroid,prior,mmr,greedy,prior/mmr/greedy,0.523729289163773,0.052662055693426225,0.5274941642684411,0.521802217433668,0.5162339192611259,0.491817322972653,0.5480559724285253,0.4931482855086696,0.09921631220023078,-0.026527103548969127
250,google/embeddinggemma-300m,centroid,prior,graphcut,greedy,prior/graphcut/greedy,0.5252280380267974,0.052613324099132476,0.5296513699111527,0.5227642225219904,0.5172450245553091,0.4909164069947514,0.5480559724285253,0.49468018549904524,0.09903423424386244,-0.026820058058519797
250,google/embeddinggemma-300m,centroid,prior,fl,greedy,prior/fl/greedy,0.7113297552711392,0.03079316458436397,0.7217129935532532,0.6989329720661027,0.7028611260022363,0.6800430242680201,0.6878030222735612,0.7063496298059089,0.26366604056279613,-0.16456404902972727
250,google/embeddinggemma-300m,centroid,prior,mmr,cost_norm,prior/mmr/cost_norm,0.5462349816295023,0.04538012518248749,0.5473391545266584,0.5440139471950575,0.5404867132727155,0.5364520612943123,0.415275548339429,0.5117986546268014,0.13884283524481053,-0.03325070885206652
250,google/embeddinggemma-300m,centroid,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.5487225449886965,0.045386145137391,0.5500682518947221,0.5461446017297493,0.541894101530211,0.5364520612943123,0.415275548339429,0.5136915655196653,0.13791721907690307,-0.032795451949119904
